CEUR-iri,DBLP-iri
http://ceur-ws.org/Vol-1488/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1486/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1481/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1472/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1359/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1435/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1362/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1361/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1282/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1280/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1279/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1272/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1268/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1184/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1165/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1056/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1045/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1035/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-1034/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-997/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-996/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-914/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-904/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-779/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-700/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
http://ceur-ws.org/Vol-667/#RubeniVerborgh,http://dblp.l3s.de/d2r/resource/authors/Ruben_Verborgh
